"last_name, first_name","player_id","year","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Carrasco, Carlos",471911,2023,"NYM","CH","Changeup",0.4,2,475,29.9,133,0.22,0.314,0.291,31.1,23.3,17,0.26,0.383,0.323,44.8
"Kahnle, Tommy",592454,2023,"NYY","CH","Changeup",1.1,6,518,75.6,133,0.2,0.374,0.291,35.4,25.6,19.9,0.198,0.326,0.275,23.8
"Rodriguez, Eduardo",593958,2023,"DET","CH","Changeup",1,4,448,18.3,129,0.233,0.292,0.275,31.7,17.1,15,0.272,0.366,0.305,25.5
"Gallen, Zac",668678,2023,"AZ","CH","Changeup",1.6,7,453,13.9,128,0.21,0.336,0.267,31.4,24.2,20.5,0.237,0.384,0.295,34.1
"Wood, Alex",622072,2023,"SF","CH","Changeup",-0.3,-1,500,29.3,128,0.273,0.388,0.317,15.4,7.8,9.2,0.3,0.422,0.321,33.6
"Valdez, Framber",664285,2023,"HOU","CH","Changeup",0.1,0,464,15.7,125,0.231,0.342,0.299,31.1,23.2,26.9,0.259,0.385,0.301,36.3
"Dunning, Dane",641540,2023,"TEX","CH","Changeup",-0.7,-3,421,15.6,121,0.301,0.478,0.367,25.8,12.4,13.8,0.28,0.445,0.335,32.7
"Weaver, Luke",596133,2023,"NYY","CH","Changeup",-1.3,-6,452,20,120,0.316,0.547,0.383,32.3,26.7,21.5,0.274,0.411,0.304,30.6
"Stripling, Ross",548389,2023,"SF","CH","Changeup",-2.5,-9,360,24.8,118,0.305,0.508,0.359,28.9,22,17.1,0.296,0.482,0.331,29.3
"Morgan, Eli",669212,2023,"CLE","CH","Changeup",0.8,3,377,31.4,118,0.236,0.327,0.286,30.8,32.2,23.3,0.215,0.32,0.256,23.3
"Davies, Zach",605200,2023,"AZ","CH","Changeup",-1.9,-7,371,24.8,117,0.275,0.477,0.34,37.2,28.2,23.6,0.256,0.413,0.309,37.7
"Sears, JP",676664,2023,"OAK","CH","Changeup",0.4,2,435,15.2,116,0.277,0.438,0.337,22.5,9.5,13.1,0.31,0.518,0.363,44.6
"Gomber, Austin",596295,2023,"COL","CH","Changeup",-0.2,-1,390,18.1,114,0.296,0.509,0.36,19.9,7,10.5,0.277,0.477,0.336,32.7
"Waldichuk, Ken",686610,2023,"OAK","CH","Changeup",-1,-4,423,16.6,111,0.34,0.515,0.377,37.4,16.2,19.1,0.288,0.451,0.331,34.1
"Syndergaard, Noah",592789,2023,"CLE","CH","Changeup",-2.4,-7,311,22.1,110,0.286,0.571,0.376,21.8,19.1,17.2,0.303,0.561,0.379,34.5
"Peralta, Wandy",593974,2023,"NYY","CH","Changeup",0.9,3,388,44.2,110,0.187,0.341,0.326,37,24.5,21.6,0.243,0.388,0.344,32.8
"Ragans, Cole",666142,2023,"KC","CH","Changeup",2.8,11,376,23.7,110,0.152,0.192,0.212,34.4,22.7,19.7,0.194,0.276,0.248,20
"Greinke, Zack",425844,2023,"KC","CH","Changeup",-0.8,-3,367,16.5,110,0.241,0.37,0.273,20.7,17.3,14.4,0.271,0.355,0.276,36.7
"Wells, Tyler",669330,2023,"BAL","CH","Changeup",0.1,0,353,18.5,109,0.196,0.382,0.282,33.3,26.6,20.7,0.208,0.356,0.269,19.2
"Scherzer, Max",453286,2023,"TEX","CH","Changeup",-0.2,-1,347,14.1,105,0.207,0.283,0.267,27.5,28.6,15.9,0.199,0.278,0.268,27
"Jackson, Andre",656578,2023,"PIT","CH","Changeup",-2.2,-7,320,32,105,0.273,0.566,0.38,29.7,24.8,22.8,0.295,0.533,0.369,39.7
"Devenski, Chris",606965,2023,"TB","CH","Changeup",-0.4,-1,350,51.5,105,0.227,0.361,0.271,36,29.5,23.3,0.224,0.375,0.277,30
"Allen, Logan",671106,2023,"CLE","CH","Changeup",1.2,5,454,21.3,104,0.191,0.223,0.231,33,29.8,19.4,0.215,0.285,0.252,38.5
"Megill, Tylor",656731,2023,"NYM","CH","Changeup",-0.5,-2,334,14.9,103,0.264,0.396,0.333,24.1,15.5,18,0.262,0.389,0.329,30.7
"Iglesias, Raisel",628452,2023,"ATL","CH","Changeup",1.6,5,307,35.3,103,0.182,0.313,0.232,40.8,35.9,32.5,0.166,0.265,0.197,27
"Bibee, Tanner",676440,2023,"CLE","CH","Changeup",1.3,5,386,16.6,102,0.213,0.298,0.277,37.8,33.3,26.4,0.181,0.278,0.236,23.3
"Young, Alex",622065,2023,"CIN","CH","Changeup",-0.3,-1,315,35.9,100,0.196,0.37,0.288,39.9,34,28.6,0.199,0.326,0.26,46.6
"Burnes, Corbin",669203,2023,"MIL","CH","Changeup",1.4,5,346,11.2,98,0.204,0.258,0.221,30.6,24.5,18.9,0.212,0.281,0.232,15.7
"France, J.P.",641585,2023,"HOU","CH","Changeup",2,7,334,15.2,98,0.183,0.237,0.196,30.8,23.5,21.3,0.199,0.268,0.217,18.1
"Middleton, Keynan",641871,2023,"NYY","CH","Changeup",1.1,4,367,42.9,98,0.209,0.396,0.291,37.7,26.5,23,0.232,0.395,0.299,26.2
"Suárez, Ranger",624133,2023,"PHI","CH","Changeup",-1,-4,372,18.4,97,0.267,0.444,0.335,31.1,16.5,14.7,0.292,0.462,0.343,33.3
"Williams, Trevor",592866,2023,"WSH","CH","Changeup",-1.2,-5,447,17,97,0.315,0.483,0.37,19.9,12.4,8.8,0.272,0.426,0.326,28.2
"Nola, Aaron",605400,2023,"PHI","CH","Changeup",-0.3,-1,390,12.6,96,0.22,0.319,0.295,31.9,26,21.2,0.251,0.368,0.288,36.4
"Moran, Jovani",663558,2023,"MIN","CH","Changeup",0.6,2,354,47.2,96,0.156,0.278,0.22,50.9,34.4,31.4,0.141,0.242,0.198,19
"Whitlock, Garrett",676477,2023,"BOS","CH","Changeup",-3.2,-9,288,24.1,96,0.312,0.559,0.382,32,24,18.7,0.256,0.426,0.294,39.4
"Bielak, Brandon",656232,2023,"HOU","CH","Changeup",1,3,345,24.9,95,0.227,0.352,0.292,33.2,26.3,22.1,0.265,0.405,0.318,41.3
"Germán, Domingo",593334,2023,"NYY","CH","Changeup",1,4,340,20.6,93,0.195,0.293,0.253,32.6,21.5,24.1,0.266,0.355,0.313,32.8
"Lambert, Peter",663567,2023,"COL","CH","Changeup",-1.3,-4,290,20,93,0.235,0.459,0.347,32.5,32.3,27.3,0.212,0.382,0.289,40
"Peterson, David",656849,2023,"NYM","CH","Changeup",-1,-4,372,18.9,93,0.325,0.55,0.422,31.5,17.2,20.3,0.261,0.49,0.363,32.3
"Elder, Bryce",693821,2023,"ATL","CH","Changeup",0.9,3,390,13.7,92,0.188,0.235,0.237,23.6,17.4,13.9,0.237,0.335,0.28,24.6
"Williamson, Brandon",682227,2023,"CIN","CH","Changeup",0.3,1,320,16.5,90,0.183,0.39,0.311,39.9,26.7,23.1,0.23,0.396,0.303,31
"Peralta, Freddy",642547,2023,"MIL","CH","Changeup",-0.3,-1,415,14.6,90,0.224,0.388,0.305,31.2,20,18.6,0.232,0.365,0.277,34.3
"Cano, Yennier",666974,2023,"BAL","CH","Changeup",0.3,1,282,27.7,90,0.193,0.295,0.222,40.5,38.9,28.2,0.214,0.326,0.241,30.2
"Montero, Rafael",606160,2023,"HOU","CH","Changeup",-1.2,-3,279,22.3,87,0.299,0.416,0.357,29.2,20.7,17.1,0.235,0.315,0.286,38.3
"Anderson, Chase",502624,2023,"COL","CH","Changeup",0.9,3,332,22.9,87,0.163,0.25,0.22,28.7,25.3,19.1,0.194,0.27,0.24,19
"Urías, Julio",628711,2023,"LAD","CH","Changeup",-3.9,-11,290,15.7,86,0.296,0.593,0.406,29.9,30.2,22.8,0.254,0.421,0.304,37.5
"Gonzales, Marco",594835,2023,"SEA","CH","Changeup",0.9,2,245,30.2,86,0.222,0.358,0.267,29.5,20.9,19.8,0.255,0.419,0.313,31.3
"Kremer, Dean",665152,2023,"BAL","CH","Changeup",-1.4,-5,359,12.3,85,0.26,0.377,0.315,27,20,15.6,0.262,0.39,0.319,35
"Adam, Jason",592094,2023,"TB","CH","Changeup",0,0,319,35.2,85,0.187,0.293,0.275,33.3,27.1,24.2,0.221,0.34,0.295,36.5
"Moore, Matt",519043,2023,"MIA","CH","Changeup",3.8,10,260,30.9,83,0.163,0.237,0.188,32.4,38.6,30.5,0.154,0.246,0.184,22.4
"Marinaccio, Ron",676760,2023,"NYY","CH","Changeup",-1.7,-6,332,37.1,82,0.227,0.409,0.354,30.1,28,18.1,0.178,0.318,0.301,22.7
"Manaea, Sean",640455,2023,"SF","CH","Changeup",1.3,5,349,17,82,0.224,0.342,0.272,18.9,17.1,15.9,0.249,0.404,0.301,27
"Abbott, Andrew",671096,2023,"CIN","CH","Changeup",0.7,2,310,16.3,82,0.203,0.27,0.255,39.4,31.7,27.1,0.186,0.314,0.26,31.3
"Skubal, Tarik",669373,2023,"DET","CH","Changeup",2.2,6,297,24.4,81,0.167,0.205,0.183,50.6,43.2,31.3,0.177,0.227,0.195,39.5
"Miller, Bobby",676272,2023,"LAD","CH","Changeup",0.8,3,314,16,80,0.133,0.307,0.215,39.9,31.3,20.2,0.161,0.257,0.211,28
"Beeks, Jalen",656222,2023,"TB","CH","Changeup",1,3,324,44.3,80,0.267,0.373,0.318,31.7,27.5,25.9,0.227,0.351,0.29,38.9
"Lyles, Jordan",543475,2023,"KC","CH","Changeup",-2.7,-8,307,10.9,79,0.26,0.481,0.326,25.7,17.7,15.9,0.285,0.479,0.326,34.4
"Suter, Brent",608718,2023,"COL","CH","Changeup",1.4,4,319,28.3,79,0.171,0.25,0.193,38.1,30.4,21.6,0.164,0.228,0.181,18.9
"Wentz, Joey",666214,2023,"DET","CH","Changeup",0.1,0,337,17.5,79,0.189,0.392,0.296,31.8,16.5,11.7,0.239,0.434,0.31,21.3
"Gray, Jon",592351,2023,"TEX","CH","Changeup",1.6,5,278,11.6,78,0.211,0.268,0.231,21.3,7.7,15,0.267,0.408,0.316,35.8
"Englert, Mason",669438,2023,"DET","CH","Changeup",-2.4,-6,256,26.7,78,0.3,0.5,0.38,29,24.4,16,0.255,0.399,0.319,42.3
"Flexen, Chris",623167,2023,"COL","CH","Changeup",0.4,1,281,16,78,0.213,0.32,0.249,39.7,29.5,24.2,0.226,0.339,0.259,21.2
"Weathers, Ryan",677960,2023,"MIA","CH","Changeup",-1.2,-3,253,23.6,78,0.304,0.507,0.381,27.9,14.1,12.1,0.295,0.429,0.357,25.9
"Holton, Tyler",663947,2023,"DET","CH","Changeup",0.8,2,269,22.5,78,0.195,0.416,0.273,33.3,26.9,23.3,0.255,0.432,0.295,39.3
"Fleming, Josh",676596,2023,"TB","CH","Changeup",-1.6,-3,220,29,77,0.352,0.507,0.371,15.4,6.5,10.2,0.322,0.449,0.347,50.7
"Irvin, Cole",608344,2023,"BAL","CH","Changeup",-1.3,-4,268,21.1,77,0.324,0.568,0.392,16.8,9.1,8.2,0.37,0.632,0.437,35.8
"Severino, Luis",622663,2023,"NYY","CH","Changeup",-0.8,-3,305,18.6,76,0.279,0.441,0.364,21.6,19.7,16.3,0.281,0.404,0.339,40.7
"Blach, Ty",621389,2023,"COL","CH","Changeup",-2,-6,279,22.1,76,0.371,0.486,0.374,20.7,11.8,9.3,0.366,0.489,0.385,39.1
"Henry, Tommy",674072,2023,"AZ","CH","Changeup",-1.1,-3,268,19.3,75,0.278,0.444,0.325,33.1,16,16.4,0.26,0.382,0.293,33.3
"Yarbrough, Ryan",642232,2023,"LAD","CH","Changeup",-2.8,-7,260,18.3,74,0.329,0.6,0.414,27.7,8.1,6.3,0.346,0.619,0.415,26.2
"Farmer, Buck",571656,2023,"CIN","CH","Changeup",-1.4,-4,282,23.1,74,0.222,0.429,0.342,32.4,21.6,19.8,0.207,0.392,0.319,31.9
"Freeland, Kyle",607536,2023,"COL","CH","Changeup",-2.1,-6,294,12.2,73,0.435,0.681,0.492,13.9,2.7,5.1,0.425,0.752,0.507,47.8
"Brazobán, Huascar",623211,2023,"MIA","CH","Changeup",1.7,5,287,28.4,72,0.159,0.19,0.225,40.6,34.7,21.6,0.15,0.185,0.215,21.1
"King, Michael",650633,2023,"NYY","CH","Changeup",3.3,8,244,14.5,71,0.104,0.134,0.151,41,31,22.7,0.197,0.232,0.216,17.8
"Martínez, Adrián",661309,2023,"OAK","CH","Changeup",-0.9,-2,221,23.4,71,0.323,0.435,0.358,29.9,22.5,21.9,0.306,0.448,0.364,45.8
"Clevinger, Mike",605182,2023,"CWS","CH","Changeup",1.5,4,269,12.8,69,0.175,0.206,0.214,29.3,18.8,15.9,0.184,0.224,0.223,12
"Lynch IV, Daniel",663738,2023,"KC","CH","Changeup",4.2,9,226,28,69,0.125,0.156,0.171,34.7,18.8,20.3,0.211,0.311,0.25,19.2
"Nelson, Ryne",669194,2023,"AZ","CH","Changeup",-0.8,-3,313,13.3,68,0.203,0.407,0.296,31.2,19.1,16.3,0.214,0.349,0.278,34.7
"Rosenberg, Kenny",670046,2023,"LAA","CH","Changeup",-0.6,-1,204,37.6,68,0.258,0.435,0.345,30,23.5,22.9,0.219,0.392,0.297,30.4
"Avila, Pedro",658648,2023,"SD","CH","Changeup",1.6,4,229,25.6,67,0.148,0.246,0.205,43.4,38.8,25.7,0.176,0.266,0.224,38.9
"Bradford, Cody",674003,2023,"TEX","CH","Changeup",0.7,2,270,27.7,67,0.2,0.283,0.24,33.9,20.9,14.1,0.208,0.303,0.259,20.8
"Quintana, Jose",500779,2023,"NYM","CH","Changeup",0.3,1,223,18.1,66,0.276,0.379,0.352,29.6,18.2,17.1,0.259,0.386,0.316,23.4
"Machado, Andrés",600921,2023,"WSH","CH","Changeup",2.6,6,213,27.5,65,0.196,0.232,0.227,25,21.5,20.3,0.269,0.4,0.315,37
"Pepiot, Ryan",686752,2023,"LAD","CH","Changeup",0.8,2,227,34.7,65,0.203,0.391,0.258,32.6,24.6,15.5,0.232,0.361,0.26,22.9
"Urquidy, José",664353,2023,"HOU","CH","Changeup",2.7,7,237,21.6,64,0.172,0.259,0.223,35.2,29.7,19.4,0.176,0.22,0.222,22.5
"Ryu, Hyun Jin",547943,2023,"TOR","CH","Changeup",-2.3,-4,189,22.8,63,0.276,0.448,0.384,25,12.7,14.8,0.263,0.371,0.307,30
"Ramirez, Nick",598286,2023,"NYY","CH","Changeup",0.2,0,184,28,63,0.23,0.279,0.242,30.2,19,16.2,0.239,0.309,0.244,14
"Webb, Jacob",657097,2023,"BAL","CH","Changeup",-1.2,-3,258,27.8,62,0.17,0.34,0.302,36,27.4,15.7,0.178,0.27,0.26,27
"Honeywell, Brent",641703,2023,"CWS","CH","Changeup",-2.6,-7,250,26.5,61,0.293,0.552,0.384,21.1,19.7,18.8,0.283,0.517,0.351,55.3
"Kikuchi, Yusei",579328,2023,"TOR","CH","Changeup",-1,-3,272,9.7,61,0.254,0.508,0.348,19.3,14.8,12.9,0.233,0.493,0.317,42
"Morton, Charlie",450203,2023,"ATL","CH","Changeup",0.3,1,292,10.3,61,0.25,0.339,0.293,34.4,19.7,22.6,0.26,0.326,0.29,38.6
"Marsh, Alec",679525,2023,"KC","CH","Changeup",-4.1,-8,200,14.9,59,0.346,0.654,0.501,26.8,15.3,16.4,0.3,0.525,0.391,37.2
"Shuster, Jared",694363,2023,"ATL","CH","Changeup",-2.2,-4,199,23,59,0.26,0.5,0.379,33.3,13.6,11.4,0.241,0.433,0.348,26.2
"Keuchel, Dallas",572971,2023,"MIN","CH","Changeup",-1.9,-3,178,27.1,58,0.327,0.473,0.368,19.6,8.6,7.8,0.315,0.468,0.34,25.5
"Mikolas, Miles",571945,2023,"STL","CH","Changeup",3.1,5,172,5.4,58,0.182,0.382,0.248,8.5,1.7,2.7,0.301,0.613,0.388,38.2
"Fried, Max",608331,2023,"ATL","CH","Changeup",1.8,4,205,16.5,58,0.232,0.286,0.244,37.7,36.2,24.1,0.21,0.251,0.217,31.4
"Olson, Reese",681857,2023,"DET","CH","Changeup",0.8,2,264,15.1,57,0.208,0.283,0.239,35.9,29.8,17.7,0.276,0.375,0.303,47.4
"Sale, Chris",519242,2023,"BOS","CH","Changeup",-0.5,-1,219,13.1,57,0.309,0.473,0.4,32.2,10.5,20.7,0.288,0.436,0.316,24
"Bradish, Kyle",680694,2023,"BAL","CH","Changeup",0.4,1,198,7.5,56,0.25,0.365,0.297,10.8,3.6,4.4,0.283,0.509,0.36,38
"Stone, Gavin",694813,2023,"LAD","CH","Changeup",-1,-2,187,34.2,55,0.24,0.48,0.342,41.4,20,16.7,0.299,0.457,0.345,45
"King, John",667463,2023,"STL","CH","Changeup",-1.1,-2,196,37.2,54,0.308,0.404,0.313,29.7,13,15.6,0.243,0.383,0.277,34.8
"Strider, Spencer",675911,2023,"ATL","CH","Changeup",0.8,2,225,7.3,54,0.122,0.184,0.185,44.4,33.3,22.2,0.143,0.195,0.197,6.5
"Cole, Gerrit",543037,2023,"NYY","CH","Changeup",0.7,2,233,7.1,54,0.235,0.51,0.343,28.6,13,11.3,0.279,0.556,0.358,26.7
"Soriano, George",666277,2023,"MIA","CH","Changeup",-0.7,-1,190,21.5,53,0.22,0.32,0.294,32.9,24.5,28.9,0.254,0.36,0.287,35.1
"Loup, Aaron",571901,2023,"LAA","CH","Changeup",-0.1,0,147,17.6,53,0.25,0.346,0.285,32.3,17,14.8,0.25,0.351,0.267,23.3
"Boyd, Matthew",571510,2023,"DET","CH","Changeup",-0.8,-2,220,18.7,53,0.245,0.367,0.331,38.9,20.8,18.3,0.233,0.351,0.284,26.3
"Woodruff, Brandon",605540,2023,"MIL","CH","Changeup",2.4,5,205,19.7,52,0.098,0.118,0.107,38,30.8,20.8,0.164,0.229,0.179,14.3
"Brogdon, Connor",641401,2023,"PHI","CH","Changeup",1.1,3,234,43,52,0.188,0.271,0.24,31.6,28.8,14.6,0.167,0.235,0.202,14.7
"Milner, Hoby",571948,2023,"MIL","CH","Changeup",0.8,1,178,17.3,51,0.255,0.294,0.261,23.7,13.7,14.6,0.284,0.374,0.285,27.3
"Seabold, Connor",657756,2023,"COL","CH","Changeup",-0.3,-1,208,13.3,51,0.204,0.265,0.242,22.7,15.7,11.3,0.268,0.347,0.282,22
"Saucedo, Tayler",642048,2023,"SEA","CH","Changeup",0.2,0,204,25.9,51,0.208,0.292,0.242,38.5,27.5,17.1,0.207,0.254,0.22,25.7
"Winans, Allan",642216,2023,"ATL","CH","Changeup",3.4,5,148,27.7,50,0.25,0.341,0.282,31.1,26,21,0.262,0.324,0.298,30.3
"Garrett, Braxton",666129,2023,"MIA","CH","Changeup",0.5,1,219,8.8,50,0.286,0.327,0.298,32.7,14,17.9,0.318,0.395,0.318,38.1
"Castro, Miguel",612434,2023,"AZ","CH","Changeup",-0.7,-1,160,15.9,50,0.227,0.318,0.293,34.9,28,21.9,0.246,0.37,0.315,26.7
"Kowar, Jackson",663804,2023,"KC","CH","Changeup",-0.7,-1,202,35.6,50,0.364,0.455,0.4,25.5,16,10.5,0.316,0.386,0.352,25
"Ureña, José",570632,2023,"CWS","CH","Changeup",-1.9,-4,187,24.3,49,0.22,0.39,0.349,25.8,18.4,15,0.189,0.262,0.24,20
"Sheehan, Emmet",686218,2023,"LAD","CH","Changeup",0.5,1,177,17.2,49,0.178,0.333,0.256,48.8,49,32.4,0.147,0.218,0.2,47.6
"Erceg, Lucas",668674,2023,"OAK","CH","Changeup",0.5,1,233,22.1,48,0.19,0.286,0.285,38.4,39.6,22.9,0.196,0.23,0.249,26.1
"Ortiz, Luis L.",682847,2023,"PIT","CH","Changeup",-0.1,0,200,13.7,48,0.209,0.209,0.26,34.1,22.9,20,0.216,0.288,0.268,37.5
"Lynn, Lance",458681,2023,"LAD","CH","Changeup",-0.5,-1,220,6.9,47,0.302,0.372,0.35,29.9,17,10.7,0.227,0.306,0.267,20
"Musgrove, Joe",605397,2023,"SD","CH","Changeup",1.2,2,176,11.4,47,0.267,0.333,0.301,40.6,34,22.9,0.213,0.281,0.234,34.5
"Harris, Hogan",663687,2023,"OAK","CH","Changeup",-0.1,0,225,20.3,47,0.205,0.409,0.286,36.8,27.7,20.6,0.22,0.43,0.3,38.7
"Manoah, Alek",666201,2023,"TOR","CH","Changeup",-1.2,-3,216,12.8,46,0.273,0.432,0.339,20,13,12.2,0.311,0.505,0.362,42.1
"Pfaadt, Brandon",694297,2023,"AZ","CH","Changeup",-4,-8,196,12.2,46,0.4,0.711,0.497,33,19.6,16.7,0.362,0.592,0.411,52.8
"May, Trevor",543507,2023,"OAK","CH","Changeup",2.4,4,173,22.3,46,0.2,0.3,0.268,25,15.2,17.5,0.254,0.406,0.316,31.4
"Mantiply, Joe",573009,2023,"AZ","CH","Changeup",3.4,5,138,24.2,46,0.178,0.244,0.195,32.5,28.3,26,0.224,0.351,0.255,31.3
"Barria, Jaime",642545,2023,"LAA","CH","Changeup",0.3,1,190,14.1,45,0.227,0.25,0.223,34.9,26.7,18.2,0.268,0.365,0.283,15.6
"Suarez, José",660761,2023,"LAA","CH","Changeup",-1.8,-3,166,26.8,45,0.31,0.548,0.391,38.5,28.9,19.1,0.261,0.388,0.289,46.7
"Cueto, Johnny",456501,2023,"MIA","CH","Changeup",-3,-5,166,19.3,44,0.286,0.595,0.415,27.8,25,14.9,0.227,0.431,0.297,41.9
"Herget, Kevin",643361,2023,"CIN","CH","Changeup",-0.6,-1,147,35.2,44,0.286,0.619,0.392,25.6,20.5,16.1,0.239,0.524,0.335,27.3
"Kluber, Corey",446372,2023,"BOS","CH","Changeup",1.4,2,157,15.9,43,0.19,0.262,0.229,30,23.3,15.9,0.214,0.349,0.25,28.1
"Wicks, Jordan",696136,2023,"CHC","CH","Changeup",0.7,1,173,29.7,43,0.171,0.317,0.239,30,18.6,12.7,0.211,0.347,0.247,26.5
"Buttó, José",676130,2023,"NYM","CH","Changeup",-1.5,-3,168,22.9,43,0.316,0.395,0.357,37.3,27.9,16.2,0.28,0.405,0.342,38.5
"Romero, JoJo",668941,2023,"STL","CH","Changeup",2.4,4,153,27.9,43,0.282,0.308,0.294,45.3,30.2,28.3,0.235,0.288,0.262,29.6
"Minter, A.J.",621345,2023,"ATL","CH","Changeup",0.9,1,148,13.9,42,0.244,0.268,0.223,35.4,38.1,22.9,0.167,0.211,0.177,24
"Ottavino, Adam",493603,2023,"NYM","CH","Changeup",4.2,6,142,13.9,42,0.122,0.22,0.158,29.2,19,19,0.253,0.31,0.256,39.4
